Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
78	2.4648714	115.54826	1.9682741e-34	0.023166023	0.0077220076	2370.0	0.001	1.1633162	2370000	1.8310548e-08	0.096546456	-3.6821401e-09	0.0026720534	-0.07480782	-0.12409054	0.6677932	0.010827552	12735.136707305908
79	2.5589526	114.53257	3.76e-42	0.053639848	0.007662835	2384.0	0.0009933333333333333	1.2634958	2400000	1.4241537e-08	0.02762179	-2.9231396e-08	-0.0014535319	-0.012991923	-0.09528162	0.6732062	0.016171934	13039.63154244423
80	2.618647	123.83471	0.0	0.0	0.0	2384.0	0.0009810699588477367	1.2247176	2430000	8.646647e-09	0.08628655	-3.1526423e-07	-0.009110106	-0.058170885	-0.12968507	0.6761913	0.011736357	13368.93488907814
81	2.5502832	126.43882	0.0	0.0	0.0	2384.0	0.0009691056910569105	1.1938962	2460000	-7.3750814e-09	0.108484656	3.8629844e-07	-0.009628848	-0.060401082	-0.119484365	0.6719451	0.011151603	13715.23368382454
82	2.5627456	122.6749	0.0	0.008230452	0.008230452	2386.0	0.0009582329317269076	1.1398859	2490000	7.1207684e-09	0.2297904	1.9622928e-07	-0.014129734	-0.12814397	-0.14399847	0.672613	0.018848412	14081.477310180664
83	2.5944293	121.52846	0.0	0.0	0.0	2386.0	0.0009468253968253969	1.1900208	2520000	1.0681153e-08	0.08611834	1.5506899e-08	-0.008602924	-0.06487108	-0.16465823	0.67367446	0.015207786	14440.862759113312
84	2.6027336	119.26295	0.0	0.03187251	0.011952192	2394.0	0.0009388235294117647	1.2276318	2550000	-3.051758e-09	0.06315561	0.0	-0.004750145	-0.030578468	-0.10784996	0.671575	0.00878514	14810.366913318634
85	2.5587223	108.82847	8.5351055e-35	0.01459854	0.00729927	2398.0	0.0009294573643410853	1.2775964	2580000	5.086263e-09	0.020167049	1.7402816e-07	-0.0132017415	-0.012380567	-0.14146794	0.66961825	0.013984954	15193.773072481155
86	2.444908	114.37405	0.0	0.0	0.0	2398.0	0.0009187739463601532	1.2565596	2610000	-1.5513102e-08	0.19518271	1.4559913e-08	-0.0023424088	-0.15141924	-0.13838995	0.669434	0.0152276615	15572.264986276627
87	2.6074395	123.67769	1.1187546e-12	0.024793388	0.008264462	2404.0	0.0009106060606060606	1.1732075	2640000	-5.086263e-09	0.0974418	-1.418689e-07	0.00010259603	-0.054205693	-0.1428666	0.67094624	0.016592596	15925.941406726837
88	2.5777657	123.1893	1.1648406e-07	0.008230452	0.008230452	2406.0	0.000901123595505618	1.2059197	2670000	-7.3750814e-09	0.070083596	2.6098493e-07	-0.010943498	-0.034814823	-0.16630158	0.6659814	0.020052422	16282.707196950912
89	2.5483966	115.139	0.0	0.0	0.0	2406.0	0.0008911111111111111	1.239943	2700000	2.5431315e-09	0.041912038	5.154996e-08	0.0017724355	-0.024908263	-0.16160464	0.66194797	0.011682017	16649.93789744377
90	2.5820196	120.67742	0.0	0.008064516	0.004032258	2408.0	0.0008820512820512821	1.2104281	2730000	-2.7974447e-09	0.10385618	6.9218295e-08	0.00058572844	-0.07663007	-0.13243833	0.6629468	0.0125603	17013.364805221558
91	2.5733767	126.35865	0.0	0.0	0.0	2408.0	0.000872463768115942	1.2048794	2760000	4.9591065e-09	0.09496107	-3.2191537e-08	-0.0030043314	-0.047598034	-0.10611137	0.6621633	0.01657828	17368.66822719574
92	2.5951958	118.221344	0.00016339403	0.011857707	0.007905139	2411.0	0.0008641577060931899	1.2311475	2790000	0.0	0.04721174	-2.6386246e-08	0.0011604812	-0.031786673	-0.18119743	0.6551864	0.009142668	17735.341349840164
93	2.5058994	118.09449	0.0	0.007874016	0.003937008	2413.0	0.0008556737588652482	1.209866	2820000	-4.0690105e-09	0.056516513	-6.7583215e-08	-0.0001817932	-0.020033881	-0.14279741	0.65747005	0.017501408	18091.694123983383
94	2.4839916	133.78572	4.046296e-09	0.017857144	0.008928572	2417.0	0.0008480701754385965	1.1467191	2850000	8.010864e-09	0.14135663	2.3841858e-07	-0.010654588	-0.08108	-0.13727568	0.6507284	0.013463074	18438.358600854874
95	2.4460332	112.275475	0.0	0.0	0.0	2417.0	0.0008392361111111111	1.1559867	2880000	-8.9009605e-10	0.083731525	-3.598771e-09	-0.012083942	-0.0439446	-0.15648109	0.6505337	0.018387875	18802.494171380997
96	2.4726353	121.73984	3.4592397e-36	0.020325202	0.008130081	2422.0	0.0008323024054982818	1.1093848	2910000	-1.0172526e-09	0.10374045	-3.1013798e-08	-2.0204672e-05	-0.047379274	-0.124823965	0.6503491	0.014094389	19157.51506972313
97	2.5582852	123.25514	0.0	0.016460905	0.008230452	2426.0	0.0008251700680272109	1.1719869	2940000	-2.0345052e-09	0.051794015	-1.098884e-07	-0.011100245	-0.021456938	-0.13913687	0.6540858	0.011440263	19503.185702085495
98	2.5093713	133.88393	1.7055324e-20	0.008928572	0.004464286	2428.0	0.0008175084175084175	1.1219691	2970000	-2.0345052e-09	0.08476521	-8.51495e-09	-0.009211669	-0.038637053	-0.22314194	0.65459365	0.01962893	19836.333093881607
99	2.5175362	124.79747	2e-43	0.008438818	0.008438818	2430.0	0.00081	1.0984954	3000000	6.103516e-09	0.065264665	-1.00598555e-07	-0.0011756194	-0.027969085	-0.1327907	0.64763856	0.016274842	20172.84567117691
